focal_id,delay_year,new_phrase_comb,new_phrase,new_word_comb,novelty,first_author_productivity,team_productivity,author_count,journal_tier_rc,journal_tier_orig5,journal_tier,inter_coauthorship,Ni_foreign_ratio,Nj_foreign_ratio,year,field,Ni_dynamic,Nj_dynamic,citation_dynamic
https://openalex.org/W1971144426,0,0,0,1,0.0,21.0,24.5,2,0,2,1,0,0.0,,1999,4,1,0,1
https://openalex.org/W1971283722,1,0,2,22,0.0,91.0,91.0,1,0,3,0,0,0.0,0.75,1999,4,33,4,37
https://openalex.org/W1971571318,2,0,0,4,0.0,7.0,88.0,2,1,1,1,0,0.25,0.5,1999,4,4,2,6
https://openalex.org/W1971907716,0,0,0,4,0.0,20.0,25.0,2,1,1,1,0,0.6667,0.6667,1999,4,6,3,9
https://openalex.org/W1972156925,0,0,0,0,0.0,10.0,5.0,2,0,5,0,0,1.0,,1999,4,1,0,1
https://openalex.org/W1972221426,0,8,0,2,2.1972245773362196,31.0,11.0,3,0,2,1,0,0.0,,1999,4,2,0,2
https://openalex.org/W1972225102,0,8,0,10,2.1972245773362196,1.0,1.0,2,0,2,1,0,0.625,1.0,1999,4,40,2,42
https://openalex.org/W1972387448,2,3,0,2,1.3862943611198906,33.0,33.0,1,0,3,0,0,1.0,,1999,4,2,0,2
https://openalex.org/W1972994331,0,21,2,79,3.091042453358316,83.0,44.0,2,0,5,0,0,0.5556,0.0,1999,4,9,2,11
https://openalex.org/W1973706554,0,10,0,7,2.3978952727983707,0.0,7.25,4,1,1,1,0,0.0,,1999,4,6,0,6
https://openalex.org/W1973782740,1,0,0,0,0.0,116.0,117.0,2,1,1,1,0,0.0465,0.1034,1999,4,43,29,72
https://openalex.org/W1973956815,0,3,2,10,1.3862943611198906,1.0,3.5,2,0,5,0,0,0.2,,1999,4,5,0,5
https://openalex.org/W1974213822,10,1,0,2,0.6931471805599453,5.0,3.0,2,0,2,1,0,0.5,0.5,1999,4,10,6,16
https://openalex.org/W1975034403,1,1,0,3,0.6931471805599453,107.0,50.0,3,0,2,1,0,0.6667,0.0,1999,4,3,2,5
https://openalex.org/W1975294000,3,0,0,0,0.0,25.0,43.333333333333336,3,1,1,1,0,0.2308,0.125,1999,4,26,8,34
https://openalex.org/W1975323984,0,0,0,0,0.0,5.0,37.666666666666664,3,1,1,1,0,0.5,0.0,1999,4,4,2,6
https://openalex.org/W1975652022,8,0,1,0,0.0,2.0,63.5,4,0,5,0,0,0.3077,0.2963,1999,4,39,27,66
https://openalex.org/W1975875128,0,10,1,15,2.3978952727983707,89.0,89.0,1,0,5,0,0,0.6667,0.0,1999,4,3,1,4
https://openalex.org/W1975987200,3,1,1,0,0.6931471805599453,3.0,18.0,2,0,4,0,0,0.4,0.3333,1999,4,5,3,8
https://openalex.org/W1976008656,1,2,1,23,1.0986122886681098,6.0,19.333333333333332,3,0,2,1,0,1.0,,1999,4,1,0,1
https://openalex.org/W1976233442,0,3,1,0,1.3862943611198906,4.0,2.0,2,0,4,0,0,0.5,1.0,1999,4,2,1,3
https://openalex.org/W1976406320,2,16,0,38,2.833213344056216,27.0,11.0,3,1,1,1,0,1.0,1.0,1999,4,7,3,10
https://openalex.org/W1976566279,4,7,1,7,2.0794415416798357,24.0,9.666666666666666,3,1,1,1,1,0.2,0.0,1999,4,10,3,13
